formula,Elements,Metal_NonMetal,Electronegativity,Num_Elements,Atomic_Composition,Is_Metal
TePrPo4,"['Te', 'Pr', 'Po']","['Te - Non-Metal', 'Pr - Metal', 'Po - Non-Metal']","[2.1, 1.13, 2.0]",3,"{'Te': 1.0, 'Pr': 1.0, 'Po': 4.0}",TRUE
Tc2K3At3,"['Tc', 'K', 'At']","['Tc - Metal', 'K - Metal', 'At - Non-Metal']","[1.9, 0.82, 2.2]",3,"{'Tc': 2.0, 'K': 3.0, 'At': 3.0}",TRUE
Be2Po2S3,"['Be', 'Po', 'S']","['Be - Metal', 'Po - Non-Metal', 'S - Non-Metal']","[1.57, 2.0, 2.58]",3,"{'Be': 2.0, 'Po': 2.0, 'S': 3.0}",TRUE
PtTe2Ce2F3,"['Pt', 'Te', 'Ce', 'F']","['Pt - Metal', 'Te - Non-Metal', 'Ce - Metal', 'F - Non-Metal']","[2.28, 2.1, 1.12, 3.98]",4,"{'Pt': 1.0, 'Te': 2.0, 'Ce': 2.0, 'F': 3.0}",FALSE
Si3At4,"['Si', 'At']","['Si - Non-Metal', 'At - Non-Metal']","[1.9, 2.2]",2,"{'Si': 3.0, 'At': 4.0}",TRUE
Md2Te3Tc7,"['Md', 'Te', 'Tc']","['Md - Metal', 'Te - Non-Metal', 'Tc - Metal']","[1.3, 2.1, 1.9]",3,"{'Md': 2.0, 'Te': 3.0, 'Tc': 7.0}",TRUE
SeHo,"['Se', 'Ho']","['Se - Non-Metal', 'Ho - Metal']","[2.55, 1.23]",2,"{'Se': 1.0, 'Ho': 1.0}",TRUE
SePt,"['Se', 'Pt']","['Se - Non-Metal', 'Pt - Metal']","[2.55, 2.28]",2,"{'Se': 1.0, 'Pt': 1.0}",FALSE
Br2Ru7,"['Br', 'Ru']","['Br - Non-Metal', 'Ru - Metal']","[2.96, 2.2]",2,"{'Br': 2.0, 'Ru': 7.0}",FALSE
As3P5,"['As', 'P']","['As - Non-Metal', 'P - Non-Metal']","[2.18, 2.19]",2,"{'As': 3.0, 'P': 5.0}",FALSE
BKr2Tl4W5,"['B', 'Kr', 'Tl', 'W']","['B - Non-Metal', 'Kr - Non-Metal', 'Tl - Metal', 'W - Metal']","[2.04, 3.0, 1.62, 2.36]",4,"{'B': 1.0, 'Kr': 2.0, 'Tl': 4.0, 'W': 5.0}",FALSE
IrCl5,"['Ir', 'Cl']","['Ir - Metal', 'Cl - Non-Metal']","[2.2, 3.16]",2,"{'Ir': 1.0, 'Cl': 5.0}",FALSE
SbMn3Ga3,"['Sb', 'Mn', 'Ga']","['Sb - Non-Metal', 'Mn - Metal', 'Ga - Metal']","[2.05, 1.55, 1.81]",3,"{'Sb': 1.0, 'Mn': 3.0, 'Ga': 3.0}",TRUE
XeP2Ta6,"['Xe', 'P', 'Ta']","['Xe - Non-Metal', 'P - Non-Metal', 'Ta - Metal']","[2.6, 2.19, 1.5]",3,"{'Xe': 1.0, 'P': 2.0, 'Ta': 6.0}",TRUE
RuCl4,"['Ru', 'Cl']","['Ru - Metal', 'Cl - Non-Metal']","[2.2, 3.16]",2,"{'Ru': 1.0, 'Cl': 4.0}",FALSE
OGe4Ir6,"['O', 'Ge', 'Ir']","['O - Non-Metal', 'Ge - Non-Metal', 'Ir - Metal']","[3.44, 2.01, 2.2]",3,"{'O': 1.0, 'Ge': 4.0, 'Ir': 6.0}",FALSE
TlAl2Te2Re5,"['Tl', 'Al', 'Te', 'Re']","['Tl - Metal', 'Al - Metal', 'Te - Non-Metal', 'Re - Metal']","[1.62, 1.61, 2.1, 1.9]",4,"{'Tl': 1.0, 'Al': 2.0, 'Te': 2.0, 'Re': 5.0}",TRUE
GdBr2Te2Be4,"['Gd', 'Br', 'Te', 'Be']","['Gd - Metal', 'Br - Non-Metal', 'Te - Non-Metal', 'Be - Metal']","[1.2, 2.96, 2.1, 1.57]",4,"{'Gd': 1.0, 'Br': 2.0, 'Te': 2.0, 'Be': 4.0}",TRUE
Br2Pd3H4,"['Br', 'Pd', 'H']","['Br - Non-Metal', 'Pd - Metal', 'H - Unknown']","[2.96, 2.2, 2.2]",3,"{'Br': 2.0, 'Pd': 3.0, 'H': 4.0}",FALSE
RuRh2As6,"['Ru', 'Rh', 'As']","['Ru - Metal', 'Rh - Metal', 'As - Non-Metal']","[2.2, 2.28, 2.18]",3,"{'Ru': 1.0, 'Rh': 2.0, 'As': 6.0}",FALSE
NNo2Te4,"['N', 'No', 'Te']","['N - Non-Metal', 'No - Metal', 'Te - Non-Metal']","[3.04, 1.3, 2.1]",3,"{'N': 1.0, 'No': 2.0, 'Te': 4.0}",FALSE
Ge2Te2Zr5,"['Ge', 'Te', 'Zr']","['Ge - Non-Metal', 'Te - Non-Metal', 'Zr - Metal']","[2.01, 2.1, 1.33]",3,"{'Ge': 2.0, 'Te': 2.0, 'Zr': 5.0}",TRUE
NpN3,"['Np', 'N']","['Np - Metal', 'N - Non-Metal']","[1.36, 3.04]",2,"{'Np': 1.0, 'N': 3.0}",FALSE
ZrN4,"['Zr', 'N']","['Zr - Metal', 'N - Non-Metal']","[1.33, 3.04]",2,"{'Zr': 1.0, 'N': 4.0}",FALSE
SeTaPo4,"['Se', 'Ta', 'Po']","['Se - Non-Metal', 'Ta - Metal', 'Po - Non-Metal']","[2.55, 1.5, 2.0]",3,"{'Se': 1.0, 'Ta': 1.0, 'Po': 4.0}",TRUE
BiPoH2,"['Bi', 'Po', 'H']","['Bi - Metal', 'Po - Non-Metal', 'H - Unknown']","[2.02, 2.0, 2.2]",3,"{'Bi': 1.0, 'Po': 1.0, 'H': 2.0}",TRUE
Ni2Pu3Te4Ta4,"['Ni', 'Pu', 'Te', 'Ta']","['Ni - Metal', 'Pu - Metal', 'Te - Non-Metal', 'Ta - Metal']","[1.91, 1.28, 2.1, 1.5]",4,"{'Ni': 2.0, 'Pu': 3.0, 'Te': 4.0, 'Ta': 4.0}",TRUE
WPtBi3,"['W', 'Pt', 'Bi']","['W - Metal', 'Pt - Metal', 'Bi - Metal']","[2.36, 2.28, 2.02]",3,"{'W': 1.0, 'Pt': 1.0, 'Bi': 3.0}",FALSE
CrZr2Br4,"['Cr', 'Zr', 'Br']","['Cr - Metal', 'Zr - Metal', 'Br - Non-Metal']","[1.66, 1.33, 2.96]",3,"{'Cr': 1.0, 'Zr': 2.0, 'Br': 4.0}",TRUE
PoCu2,"['Po', 'Cu']","['Po - Non-Metal', 'Cu - Metal']","[2.0, 1.9]",2,"{'Po': 1.0, 'Cu': 2.0}",TRUE
SiTiTe4Os6,"['Si', 'Ti', 'Te', 'Os']","['Si - Non-Metal', 'Ti - Metal', 'Te - Non-Metal', 'Os - Metal']","[1.9, 1.54, 2.1, 2.2]",4,"{'Si': 1.0, 'Ti': 1.0, 'Te': 4.0, 'Os': 6.0}",TRUE
P2Kr2W3Cd4,"['P', 'Kr', 'W', 'Cd']","['P - Non-Metal', 'Kr - Non-Metal', 'W - Metal', 'Cd - Metal']","[2.19, 3.0, 2.36, 1.69]",4,"{'P': 2.0, 'Kr': 2.0, 'W': 3.0, 'Cd': 4.0}",FALSE
H2N2Pb2Se3,"['H', 'N', 'Pb', 'Se']","['H - Unknown', 'N - Non-Metal', 'Pb - Metal', 'Se - Non-Metal']","[2.2, 3.04, 2.33, 2.55]",4,"{'H': 2.0, 'N': 2.0, 'Pb': 2.0, 'Se': 3.0}",FALSE
AsZrGa2,"['As', 'Zr', 'Ga']","['As - Non-Metal', 'Zr - Metal', 'Ga - Metal']","[2.18, 1.33, 1.81]",3,"{'As': 1.0, 'Zr': 1.0, 'Ga': 2.0}",TRUE
CoIPm2H5,"['Co', 'I', 'Pm', 'H']","['Co - Metal', 'I - Non-Metal', 'Pm - Metal', 'H - Unknown']","[1.88, 2.66, 1.13, 2.2]",4,"{'Co': 1.0, 'I': 1.0, 'Pm': 2.0, 'H': 5.0}",TRUE
CuC2,"['Cu', 'C']","['Cu - Metal', 'C - Non-Metal']","[1.9, 2.55]",2,"{'Cu': 1.0, 'C': 2.0}",FALSE
XeW3,"['Xe', 'W']","['Xe - Non-Metal', 'W - Metal']","[2.6, 2.36]",2,"{'Xe': 1.0, 'W': 3.0}",FALSE
CuBrPo2,"['Cu', 'Br', 'Po']","['Cu - Metal', 'Br - Non-Metal', 'Po - Non-Metal']","[1.9, 2.96, 2.0]",3,"{'Cu': 1.0, 'Br': 1.0, 'Po': 2.0}",FALSE
SbBr3,"['Sb', 'Br']","['Sb - Non-Metal', 'Br - Non-Metal']","[2.05, 2.96]",2,"{'Sb': 1.0, 'Br': 3.0}",FALSE
Sb4Si5,"['Sb', 'Si']","['Sb - Non-Metal', 'Si - Non-Metal']","[2.05, 1.9]",2,"{'Sb': 4.0, 'Si': 5.0}",TRUE
ZnHo2I6,"['Zn', 'Ho', 'I']","['Zn - Metal', 'Ho - Metal', 'I - Non-Metal']","[1.65, 1.23, 2.66]",3,"{'Zn': 1.0, 'Ho': 2.0, 'I': 6.0}",TRUE
DyS2,"['Dy', 'S']","['Dy - Metal', 'S - Non-Metal']","[1.22, 2.58]",2,"{'Dy': 1.0, 'S': 2.0}",TRUE
YSbReAt,"['Y', 'Sb', 'Re', 'At']","['Y - Metal', 'Sb - Non-Metal', 'Re - Metal', 'At - Non-Metal']","[1.22, 2.05, 1.9, 2.2]",4,"{'Y': 1.0, 'Sb': 1.0, 'Re': 1.0, 'At': 1.0}",TRUE
Ti2Kr3Mn7,"['Ti', 'Kr', 'Mn']","['Ti - Metal', 'Kr - Non-Metal', 'Mn - Metal']","[1.54, 3.0, 1.55]",3,"{'Ti': 2.0, 'Kr': 3.0, 'Mn': 7.0}",TRUE
MgRh2Kr3Si4,"['Mg', 'Rh', 'Kr', 'Si']","['Mg - Metal', 'Rh - Metal', 'Kr - Non-Metal', 'Si - Non-Metal']","[1.31, 2.28, 3.0, 1.9]",4,"{'Mg': 1.0, 'Rh': 2.0, 'Kr': 3.0, 'Si': 4.0}",FALSE
IrBi3Ti4,"['Ir', 'Bi', 'Ti']","['Ir - Metal', 'Bi - Metal', 'Ti - Metal']","[2.2, 2.02, 1.54]",3,"{'Ir': 1.0, 'Bi': 3.0, 'Ti': 4.0}",TRUE
CRhB2Dy2S3,"['C', 'Rh', 'B', 'Dy', 'S']","['C - Non-Metal', 'Rh - Metal', 'B - Non-Metal', 'Dy - Metal', 'S - Non-Metal']","[2.55, 2.28, 2.04, 1.22, 2.58]",5,"{'C': 1.0, 'Rh': 1.0, 'B': 2.0, 'Dy': 2.0, 'S': 3.0}",FALSE
CPr2Bi4,"['C', 'Pr', 'Bi']","['C - Non-Metal', 'Pr - Metal', 'Bi - Metal']","[2.55, 1.13, 2.02]",3,"{'C': 1.0, 'Pr': 2.0, 'Bi': 4.0}",TRUE
PKr2Pt6,"['P', 'Kr', 'Pt']","['P - Non-Metal', 'Kr - Non-Metal', 'Pt - Metal']","[2.19, 3.0, 2.28]",3,"{'P': 1.0, 'Kr': 2.0, 'Pt': 6.0}",FALSE
Sm2Ir2Po5,"['Sm', 'Ir', 'Po']","['Sm - Metal', 'Ir - Metal', 'Po - Non-Metal']","[1.17, 2.2, 2.0]",3,"{'Sm': 2.0, 'Ir': 2.0, 'Po': 5.0}",TRUE
NiAt,"['Ni', 'At']","['Ni - Metal', 'At - Non-Metal']","[1.91, 2.2]",2,"{'Ni': 1.0, 'At': 1.0}",TRUE
SiAg,"['Si', 'Ag']","['Si - Non-Metal', 'Ag - Metal']","[1.9, 1.93]",2,"{'Si': 1.0, 'Ag': 1.0}",TRUE
Se2B3Cl3Re8,"['Se', 'B', 'Cl', 'Re']","['Se - Non-Metal', 'B - Non-Metal', 'Cl - Non-Metal', 'Re - Metal']","[2.55, 2.04, 3.16, 1.9]",4,"{'Se': 2.0, 'B': 3.0, 'Cl': 3.0, 'Re': 8.0}",FALSE
PdAgN2,"['Pd', 'Ag', 'N']","['Pd - Metal', 'Ag - Metal', 'N - Non-Metal']","[2.2, 1.93, 3.04]",3,"{'Pd': 1.0, 'Ag': 1.0, 'N': 2.0}",FALSE
WS5,"['W', 'S']","['W - Metal', 'S - Non-Metal']","[2.36, 2.58]",2,"{'W': 1.0, 'S': 5.0}",FALSE
ZrTbBr2H3,"['Zr', 'Tb', 'Br', 'H']","['Zr - Metal', 'Tb - Metal', 'Br - Non-Metal', 'H - Unknown']","[1.33, 1.1, 2.96, 2.2]",4,"{'Zr': 1.0, 'Tb': 1.0, 'Br': 2.0, 'H': 3.0}",TRUE
ClTi2W3Li6,"['Cl', 'Ti', 'W', 'Li']","['Cl - Non-Metal', 'Ti - Metal', 'W - Metal', 'Li - Metal']","[3.16, 1.54, 2.36, 0.98]",4,"{'Cl': 1.0, 'Ti': 2.0, 'W': 3.0, 'Li': 6.0}",TRUE
PmS3,"['Pm', 'S']","['Pm - Metal', 'S - Non-Metal']","[1.13, 2.58]",2,"{'Pm': 1.0, 'S': 3.0}",TRUE
Si3Mo3F4Ta5,"['Si', 'Mo', 'F', 'Ta']","['Si - Non-Metal', 'Mo - Metal', 'F - Non-Metal', 'Ta - Metal']","[1.9, 2.16, 3.98, 1.5]",4,"{'Si': 3.0, 'Mo': 3.0, 'F': 4.0, 'Ta': 5.0}",FALSE
SePd3O4,"['Se', 'Pd', 'O']","['Se - Non-Metal', 'Pd - Metal', 'O - Non-Metal']","[2.55, 2.2, 3.44]",3,"{'Se': 1.0, 'Pd': 3.0, 'O': 4.0}",FALSE
Cl3Sc3Re4,"['Cl', 'Sc', 'Re']","['Cl - Non-Metal', 'Sc - Metal', 'Re - Metal']","[3.16, 1.36, 1.9]",3,"{'Cl': 3.0, 'Sc': 3.0, 'Re': 4.0}",FALSE
H2Mo3Pb4,"['H', 'Mo', 'Pb']","['H - Unknown', 'Mo - Metal', 'Pb - Metal']","[2.2, 2.16, 2.33]",3,"{'H': 2.0, 'Mo': 3.0, 'Pb': 4.0}",FALSE
YCo4I5,"['Y', 'Co', 'I']","['Y - Metal', 'Co - Metal', 'I - Non-Metal']","[1.22, 1.88, 2.66]",3,"{'Y': 1.0, 'Co': 4.0, 'I': 5.0}",TRUE
PuSe3Ir4,"['Pu', 'Se', 'Ir']","['Pu - Metal', 'Se - Non-Metal', 'Ir - Metal']","[1.28, 2.55, 2.2]",3,"{'Pu': 1.0, 'Se': 3.0, 'Ir': 4.0}",TRUE
Ni3I4Ca7,"['Ni', 'I', 'Ca']","['Ni - Metal', 'I - Non-Metal', 'Ca - Metal']","[1.91, 2.66, 1.0]",3,"{'Ni': 3.0, 'I': 4.0, 'Ca': 7.0}",TRUE
IPt2,"['I', 'Pt']","['I - Non-Metal', 'Pt - Metal']","[2.66, 2.28]",2,"{'I': 1.0, 'Pt': 2.0}",FALSE
Ru2Sn3,"['Ru', 'Sn']","['Ru - Metal', 'Sn - Metal']","[2.2, 1.96]",2,"{'Ru': 2.0, 'Sn': 3.0}",TRUE
PrAuCd2I3,"['Pr', 'Au', 'Cd', 'I']","['Pr - Metal', 'Au - Metal', 'Cd - Metal', 'I - Non-Metal']","[1.13, 2.54, 1.69, 2.66]",4,"{'Pr': 1.0, 'Au': 1.0, 'Cd': 2.0, 'I': 3.0}",TRUE
USe3,"['U', 'Se']","['U - Metal', 'Se - Non-Metal']","[1.38, 2.55]",2,"{'U': 1.0, 'Se': 3.0}",TRUE
Te2Cr5,"['Te', 'Cr']","['Te - Non-Metal', 'Cr - Metal']","[2.1, 1.66]",2,"{'Te': 2.0, 'Cr': 5.0}",TRUE
CAs4,"['C', 'As']","['C - Non-Metal', 'As - Non-Metal']","[2.55, 2.18]",2,"{'C': 1.0, 'As': 4.0}",FALSE
Te3S4W4,"['Te', 'S', 'W']","['Te - Non-Metal', 'S - Non-Metal', 'W - Metal']","[2.1, 2.58, 2.36]",3,"{'Te': 3.0, 'S': 4.0, 'W': 4.0}",FALSE
AgRn3Si4,"['Ag', 'Rn', 'Si']","['Ag - Metal', 'Rn - Non-Metal', 'Si - Non-Metal']","[1.93, 2.2, 1.9]",3,"{'Ag': 1.0, 'Rn': 3.0, 'Si': 4.0}",TRUE
RnSb2Mo3O4Nb4,"['Rn', 'Sb', 'Mo', 'O', 'Nb']","['Rn - Non-Metal', 'Sb - Non-Metal', 'Mo - Metal', 'O - Non-Metal', 'Nb - Metal']","[2.2, 2.05, 2.16, 3.44, 1.6]",5,"{'Rn': 1.0, 'Sb': 2.0, 'Mo': 3.0, 'O': 4.0, 'Nb': 4.0}",FALSE
ScCoBr3,"['Sc', 'Co', 'Br']","['Sc - Metal', 'Co - Metal', 'Br - Non-Metal']","[1.36, 1.88, 2.96]",3,"{'Sc': 1.0, 'Co': 1.0, 'Br': 3.0}",TRUE
XeBiRe3,"['Xe', 'Bi', 'Re']","['Xe - Non-Metal', 'Bi - Metal', 'Re - Metal']","[2.6, 2.02, 1.9]",3,"{'Xe': 1.0, 'Bi': 1.0, 'Re': 3.0}",FALSE
AtH2Sn2Ti7,"['At', 'H', 'Sn', 'Ti']","['At - Non-Metal', 'H - Unknown', 'Sn - Metal', 'Ti - Metal']","[2.2, 2.2, 1.96, 1.54]",4,"{'At': 1.0, 'H': 2.0, 'Sn': 2.0, 'Ti': 7.0}",TRUE
TmThI6,"['Tm', 'Th', 'I']","['Tm - Metal', 'Th - Metal', 'I - Non-Metal']","[1.25, 1.3, 2.66]",3,"{'Tm': 1.0, 'Th': 1.0, 'I': 6.0}",TRUE
HgGe4,"['Hg', 'Ge']","['Hg - Metal', 'Ge - Non-Metal']","[2.0, 2.01]",2,"{'Hg': 1.0, 'Ge': 4.0}",TRUE
TeTc6,"['Te', 'Tc']","['Te - Non-Metal', 'Tc - Metal']","[2.1, 1.9]",2,"{'Te': 1.0, 'Tc': 6.0}",TRUE
ReP5,"['Re', 'P']","['Re - Metal', 'P - Non-Metal']","[1.9, 2.19]",2,"{'Re': 1.0, 'P': 5.0}",TRUE
SbTc3,"['Sb', 'Tc']","['Sb - Non-Metal', 'Tc - Metal']","[2.05, 1.9]",2,"{'Sb': 1.0, 'Tc': 3.0}",TRUE
RuBiHo3P4,"['Ru', 'Bi', 'Ho', 'P']","['Ru - Metal', 'Bi - Metal', 'Ho - Metal', 'P - Non-Metal']","[2.2, 2.02, 1.23, 2.19]",4,"{'Ru': 1.0, 'Bi': 1.0, 'Ho': 3.0, 'P': 4.0}",TRUE
MoRn2Tc6,"['Mo', 'Rn', 'Tc']","['Mo - Metal', 'Rn - Non-Metal', 'Tc - Metal']","[2.16, 2.2, 1.9]",3,"{'Mo': 1.0, 'Rn': 2.0, 'Tc': 6.0}",TRUE
SbC2O2Cr5,"['Sb', 'C', 'O', 'Cr']","['Sb - Non-Metal', 'C - Non-Metal', 'O - Non-Metal', 'Cr - Metal']","[2.05, 2.55, 3.44, 1.66]",4,"{'Sb': 1.0, 'C': 2.0, 'O': 2.0, 'Cr': 5.0}",FALSE
RhSn2Fm2Cl4Ru6,"['Rh', 'Sn', 'Fm', 'Cl', 'Ru']","['Rh - Metal', 'Sn - Metal', 'Fm - Metal', 'Cl - Non-Metal', 'Ru - Metal']","[2.28, 1.96, 1.3, 3.16, 2.2]",5,"{'Rh': 1.0, 'Sn': 2.0, 'Fm': 2.0, 'Cl': 4.0, 'Ru': 6.0}",FALSE
BeHgAs2,"['Be', 'Hg', 'As']","['Be - Metal', 'Hg - Metal', 'As - Non-Metal']","[1.57, 2.0, 2.18]",3,"{'Be': 1.0, 'Hg': 1.0, 'As': 2.0}",TRUE
ClCu5Tc5,"['Cl', 'Cu', 'Tc']","['Cl - Non-Metal', 'Cu - Metal', 'Tc - Metal']","[3.16, 1.9, 1.9]",3,"{'Cl': 1.0, 'Cu': 5.0, 'Tc': 5.0}",FALSE
CfBr5Mn6,"['Cf', 'Br', 'Mn']","['Cf - Metal', 'Br - Non-Metal', 'Mn - Metal']","[1.3, 2.96, 1.55]",3,"{'Cf': 1.0, 'Br': 5.0, 'Mn': 6.0}",TRUE
CdW4Te5,"['Cd', 'W', 'Te']","['Cd - Metal', 'W - Metal', 'Te - Non-Metal']","[1.69, 2.36, 2.1]",3,"{'Cd': 1.0, 'W': 4.0, 'Te': 5.0}",TRUE
SbO3,"['Sb', 'O']","['Sb - Non-Metal', 'O - Non-Metal']","[2.05, 3.44]",2,"{'Sb': 1.0, 'O': 3.0}",FALSE
XeRb2,"['Xe', 'Rb']","['Xe - Non-Metal', 'Rb - Metal']","[2.6, 0.82]",2,"{'Xe': 1.0, 'Rb': 2.0}",TRUE
P3Ir4,"['P', 'Ir']","['P - Non-Metal', 'Ir - Metal']","[2.19, 2.2]",2,"{'P': 3.0, 'Ir': 4.0}",FALSE
CmPo3Mn5,"['Cm', 'Po', 'Mn']","['Cm - Metal', 'Po - Non-Metal', 'Mn - Metal']","[1.3, 2.0, 1.55]",3,"{'Cm': 1.0, 'Po': 3.0, 'Mn': 5.0}",TRUE
BCl2Al5W5,"['B', 'Cl', 'Al', 'W']","['B - Non-Metal', 'Cl - Non-Metal', 'Al - Metal', 'W - Metal']","[2.04, 3.16, 1.61, 2.36]",4,"{'B': 1.0, 'Cl': 2.0, 'Al': 5.0, 'W': 5.0}",FALSE
Po3B4Ru5,"['Po', 'B', 'Ru']","['Po - Non-Metal', 'B - Non-Metal', 'Ru - Metal']","[2.0, 2.04, 2.2]",3,"{'Po': 3.0, 'B': 4.0, 'Ru': 5.0}",TRUE
ClCeDyBk2Po4,"['Cl', 'Ce', 'Dy', 'Bk', 'Po']","['Cl - Non-Metal', 'Ce - Metal', 'Dy - Metal', 'Bk - Metal', 'Po - Non-Metal']","[3.16, 1.12, 1.22, 1.3, 2.0]",5,"{'Cl': 1.0, 'Ce': 1.0, 'Dy': 1.0, 'Bk': 2.0, 'Po': 4.0}",TRUE
As2C3,"['As', 'C']","['As - Non-Metal', 'C - Non-Metal']","[2.18, 2.55]",2,"{'As': 2.0, 'C': 3.0}",FALSE
Mn2Te3,"['Mn', 'Te']","['Mn - Metal', 'Te - Non-Metal']","[1.55, 2.1]",2,"{'Mn': 2.0, 'Te': 3.0}",TRUE
BrFmTc5,"['Br', 'Fm', 'Tc']","['Br - Non-Metal', 'Fm - Metal', 'Tc - Metal']","[2.96, 1.3, 1.9]",3,"{'Br': 1.0, 'Fm': 1.0, 'Tc': 5.0}",TRUE
ClAcCmSe4,"['Cl', 'Ac', 'Cm', 'Se']","['Cl - Non-Metal', 'Ac - Metal', 'Cm - Metal', 'Se - Non-Metal']","[3.16, 1.1, 1.3, 2.55]",4,"{'Cl': 1.0, 'Ac': 1.0, 'Cm': 1.0, 'Se': 4.0}",TRUE
TaPoFmS5,"['Ta', 'Po', 'Fm', 'S']","['Ta - Metal', 'Po - Non-Metal', 'Fm - Metal', 'S - Non-Metal']","[1.5, 2.0, 1.3, 2.58]",4,"{'Ta': 1.0, 'Po': 1.0, 'Fm': 1.0, 'S': 5.0}",TRUE
Br2Cl3Nb7,"['Br', 'Cl', 'Nb']","['Br - Non-Metal', 'Cl - Non-Metal', 'Nb - Metal']","[2.96, 3.16, 1.6]",3,"{'Br': 2.0, 'Cl': 3.0, 'Nb': 7.0}",FALSE
Ag2P3Cl3Dy4,"['Ag', 'P', 'Cl', 'Dy']","['Ag - Metal', 'P - Non-Metal', 'Cl - Non-Metal', 'Dy - Metal']","[1.93, 2.19, 3.16, 1.22]",4,"{'Ag': 2.0, 'P': 3.0, 'Cl': 3.0, 'Dy': 4.0}",FALSE
MoMg2Po2,"['Mo', 'Mg', 'Po']","['Mo - Metal', 'Mg - Metal', 'Po - Non-Metal']","[2.16, 1.31, 2.0]",3,"{'Mo': 1.0, 'Mg': 2.0, 'Po': 2.0}",TRUE
AsTlZn2,"['As', 'Tl', 'Zn']","['As - Non-Metal', 'Tl - Metal', 'Zn - Metal']","[2.18, 1.62, 1.65]",3,"{'As': 1.0, 'Tl': 1.0, 'Zn': 2.0}",TRUE
ScAt2H3,"['Sc', 'At', 'H']","['Sc - Metal', 'At - Non-Metal', 'H - Unknown']","[1.36, 2.2, 2.2]",3,"{'Sc': 1.0, 'At': 2.0, 'H': 3.0}",TRUE
UNpSe3,"['U', 'Np', 'Se']","['U - Metal', 'Np - Metal', 'Se - Non-Metal']","[1.38, 1.36, 2.55]",3,"{'U': 1.0, 'Np': 1.0, 'Se': 3.0}",TRUE
Si2Sc2Cu2S5,"['Si', 'Sc', 'Cu', 'S']","['Si - Non-Metal', 'Sc - Metal', 'Cu - Metal', 'S - Non-Metal']","[1.9, 1.36, 1.9, 2.58]",4,"{'Si': 2.0, 'Sc': 2.0, 'Cu': 2.0, 'S': 5.0}",TRUE
Ta2N3,"['Ta', 'N']","['Ta - Metal', 'N - Non-Metal']","[1.5, 3.04]",2,"{'Ta': 2.0, 'N': 3.0}",FALSE
INa3P3,"['I', 'Na', 'P']","['I - Non-Metal', 'Na - Metal', 'P - Non-Metal']","[2.66, 0.93, 2.19]",3,"{'I': 1.0, 'Na': 3.0, 'P': 3.0}",TRUE
IBiH6,"['I', 'Bi', 'H']","['I - Non-Metal', 'Bi - Metal', 'H - Unknown']","[2.66, 2.02, 2.2]",3,"{'I': 1.0, 'Bi': 1.0, 'H': 6.0}",FALSE
SCo3,"['S', 'Co']","['S - Non-Metal', 'Co - Metal']","[2.58, 1.88]",2,"{'S': 1.0, 'Co': 3.0}",FALSE
BrAg,"['Br', 'Ag']","['Br - Non-Metal', 'Ag - Metal']","[2.96, 1.93]",2,"{'Br': 1.0, 'Ag': 1.0}",FALSE
MgXe2Po4Tc5,"['Mg', 'Xe', 'Po', 'Tc']","['Mg - Metal', 'Xe - Non-Metal', 'Po - Non-Metal', 'Tc - Metal']","[1.31, 2.6, 2.0, 1.9]",4,"{'Mg': 1.0, 'Xe': 2.0, 'Po': 4.0, 'Tc': 5.0}",TRUE
Br3Nb3Tc3Re5,"['Br', 'Nb', 'Tc', 'Re']","['Br - Non-Metal', 'Nb - Metal', 'Tc - Metal', 'Re - Metal']","[2.96, 1.6, 1.9, 1.9]",4,"{'Br': 3.0, 'Nb': 3.0, 'Tc': 3.0, 'Re': 5.0}",TRUE
Gd2Se3,"['Gd', 'Se']","['Gd - Metal', 'Se - Non-Metal']","[1.2, 2.55]",2,"{'Gd': 2.0, 'Se': 3.0}",TRUE
PAg2,"['P', 'Ag']","['P - Non-Metal', 'Ag - Metal']","[2.19, 1.93]",2,"{'P': 1.0, 'Ag': 2.0}",TRUE
HGaTi4Po6,"['H', 'Ga', 'Ti', 'Po']","['H - Unknown', 'Ga - Metal', 'Ti - Metal', 'Po - Non-Metal']","[2.2, 1.81, 1.54, 2.0]",4,"{'H': 1.0, 'Ga': 1.0, 'Ti': 4.0, 'Po': 6.0}",TRUE
PoCd2,"['Po', 'Cd']","['Po - Non-Metal', 'Cd - Metal']","[2.0, 1.69]",2,"{'Po': 1.0, 'Cd': 2.0}",TRUE
CdO5Re6,"['Cd', 'O', 'Re']","['Cd - Metal', 'O - Non-Metal', 'Re - Metal']","[1.69, 3.44, 1.9]",3,"{'Cd': 1.0, 'O': 5.0, 'Re': 6.0}",FALSE
ZrAs3Co5,"['Zr', 'As', 'Co']","['Zr - Metal', 'As - Non-Metal', 'Co - Metal']","[1.33, 2.18, 1.88]",3,"{'Zr': 1.0, 'As': 3.0, 'Co': 5.0}",TRUE
AcCl2,"['Ac', 'Cl']","['Ac - Metal', 'Cl - Non-Metal']","[1.1, 3.16]",2,"{'Ac': 1.0, 'Cl': 2.0}",FALSE
SnAt4,"['Sn', 'At']","['Sn - Metal', 'At - Non-Metal']","[1.96, 2.2]",2,"{'Sn': 1.0, 'At': 4.0}",TRUE
OsF4,"['Os', 'F']","['Os - Metal', 'F - Non-Metal']","[2.2, 3.98]",2,"{'Os': 1.0, 'F': 4.0}",FALSE
